guid,id,sort-index,frequency-rank,frequency,part-of-speech,word,word-romanization,definition,sentence,sentence-romanization,sentence-meaning,word-audio,sentence-audio,word-auido-source,sentence-auido-source,tags
f3HKl$?BrO,ccd09a85-56b2-426a-b9dd-2561173e1ada,11,6,96 | 198860,Determiner,این,in,this;<br>these,نِدا، <b>این</b> رابِرته. رابِرت، <b>این</b> نِداست.,"Nedâ, in Râbert-e. Râbert, in Nedâ-st.","Neda, this is Robert. Robert, this is Neda.",[sound:ccd09a85-56b2-426a-b9dd-2561173e1ada_word.mp3],[sound:ccd09a85-56b2-426a-b9dd-2561173e1ada_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Determiner
Nr*$R~(je|,9bccbefa-1aae-47cb-89c0-f323d79c87ec,12,113,89 | 7419,Noun,حال,hâl,"condition of health;<br>mood, state of mind",سلام رابِرت. <b>حال</b>ت چطوره؟,Salâm Râbert. Hâl-et chetor-e?,Hello Robert. How are you?,[sound:9bccbefa-1aae-47cb-89c0-f323d79c87ec_word.mp3],[sound:9bccbefa-1aae-47cb-89c0-f323d79c87ec_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Noun
"e9S{,7Kx_P",4415e8b8-c813-4717-9f47-94288563f3c3,13,3916,55 | 523,Interjection,متشکرم,motešakker-am,thank you;<br>I am thankful,سلام نِدا. خوبم، <b>متشکرم</b>.,"Salâm nedâ. Xub-am, motešakkeram.","Hello Neda. I’m fine, thank you.",[sound:4415e8b8-c813-4717-9f47-94288563f3c3_word.mp3],[sound:4415e8b8-c813-4717-9f47-94288563f3c3_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Interjection
y3zuUHUW)$,6fb27a95-b5ce-42d2-bd40-2cf628d3d722,14,1184,75 | 1845,"Adjective,&nbsp;Adverb",بد,bad,"bad<br>poorly, badly",حالم <b>بد</b>ه.,Hâl-am bad-e.,I'm feeling bad.,[sound:6fb27a95-b5ce-42d2-bd40-2cf628d3d722_word.mp3],[sound:6fb27a95-b5ce-42d2-bd40-2cf628d3d722_sentence.mp3],Farsi School,PersianPod101,"Persian5k::Adjective, Persian5k::Adverb"
t%kwC{)Cy(,ebd199ce-7422-4705-a763-564241c39725,15,,,,مرسی,mersi,thanks,بد نیستم. <b>مرسی</b>.,Bad nistam. Mersi.,I'm not bad. Thanks.,[sound:ebd199ce-7422-4705-a763-564241c39725_word.mp3],[sound:ebd199ce-7422-4705-a763-564241c39725_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Adjective, Persian5k::Adverb"
QRv!6^UM@$,886d7aa0-0d31-4841-8a2d-f729b28455b2,16,1406,86 | 761,Adjective,سرد,sard,cold (of temperature),<b>سرد</b>ه.,Sard-e.,It's cold.,[sound:886d7aa0-0d31-4841-8a2d-f729b28455b2_word.mp3],[sound:886d7aa0-0d31-4841-8a2d-f729b28455b2_sentence.mp3],PersianPod101,Glossika,Persian5k::Adjective
D[vMu<9N/F,fe53b8ee-f7d5-4284-83a6-08f4b737243c,17<code></code>,201,85 | 7167,Adverb,امروز,emruz,today,‫<b>امروز</b> سرد است.,Emruz sard ast.,It's cold today.,[sound:fe53b8ee-f7d5-4284-83a6-08f4b737243c_word.mp3],[sound:fe53b8ee-f7d5-4284-83a6-08f4b737243c_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Adverb
Dbfnm1%nY=,a7488506-d3dd-4a14-ba34-ce5e40f7a096,18,474,86 | 2708,Noun,هوا,havâ,air;<br>weather,<b>هوا</b> امروز خوبه.,Havâ emruz xub-e.,The weather's nice today.,[sound:a7488506-d3dd-4a14-ba34-ce5e40f7a096_word.mp3],[sound:a7488506-d3dd-4a14-ba34-ce5e40f7a096_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
rJpCuhZo|K,68dacbac-4ae9-45c2-a391-27a31a9f6c64,19,,,Adjective,گرم,garm,"warm, hot",امروز هوا <b>گرم</b>ه.,Emruz havâ garm-e.,It's hot today.,[sound:68dacbac-4ae9-45c2-a391-27a31a9f6c64_word.mp3],[sound:68dacbac-4ae9-45c2-a391-27a31a9f6c64_sentence.mp3],PersianPod101,Glossika,Persian5k::Adjective
I83(`RF|PL,2a744c9c-5fcc-4573-8353-c71ca3cf41d4,20,387,70 | 8331,Adverb,خیلی,xeyli,very,‫امروز <b>خیلی</b> گرم است.‬,Emruz xeyli garm ast.,It is very hot today.,[sound:2a744c9c-5fcc-4573-8353-c71ca3cf41d4_word.mp3],[sound:2a744c9c-5fcc-4573-8353-c71ca3cf41d4_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Adjective
uRg|>rb6{-,cc63fa86-8488-41aa-98f6-93f37f5e0b30,21,,,"Adjective, Interjection",ممنون,mamnun,"grateful, thankful;<br>
thanks",خوبم. خیلی <b>ممنون</b>. تو چطوری؟,Xub-am. Xeyli mamnun. To četor-i?,I’m fine. Many thanks. How are you?,[sound:cc63fa86-8488-41aa-98f6-93f37f5e0b30_word.mp3],[sound:cc63fa86-8488-41aa-98f6-93f37f5e0b30_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Adjective, Persian5k::Interjection"
srGc#OadKY,09eb9f41-b6b5-4279-8ac6-6fcff015e9dc,22,478,90 | 1883,"Noun, Adjective",انگلیسی,engelisi,"English (language, nationality);<br>Englishman",<b>انگلیسی</b> تو خوبه.,Engelisi-ye to xub-e.,Your English is good.,[sound:09eb9f41-b6b5-4279-8ac6-6fcff015e9dc_word.mp3],[sound:09eb9f41-b6b5-4279-8ac6-6fcff015e9dc_sentence.mp3],PersianPod101,Glossika,"Persian5k::Adjective, Persian5k::Noun, Persian5k::Topic::Languages, Persian5k::Topic::Nationalities"
p/dh_hjBXP,7bb9444b-399d-465b-9275-e53fcffbdfbc,23,2640,72 | 587,"Adjective, Noun",عاشق,âšeġ,"in love with, loving;<br>lover",من <b>عاشق</b> این هستم!,Man âšeġ-e in hastam.,I love it!,[sound:7bb9444b-399d-465b-9275-e53fcffbdfbc_word.mp3],[sound:7bb9444b-399d-465b-9275-e53fcffbdfbc_sentence.mp3],Farsi School,PersianPod101,"Persian5k::Adjective, Persian5k::Noun"
n}~WwfI_:>,8e7d186b-338f-402f-9948-2137236586ed,24,961,82 | 1732,Noun,ورزش,varzeš,sport;<br>exercise,من عاشق <b>ورزش</b> هستم.,Man âšeġ-e varzeš hastam., I love sports.,[sound:8e7d186b-338f-402f-9948-2137236586ed_word.mp3],[sound:8e7d186b-338f-402f-9948-2137236586ed_sentence.mp3],PersianPod101,PersianPod101,Persian5k::Noun
zO9(H>X;7w,163b249b-d5cb-413f-898a-0c85e9c1eb3e,25,17,92 | 65925,Verb,کردن,kardan,to do;<br>to make,تو ورزش <b>میکنی</b>؟,Tō varzeš mikoni?,Do you play sports?,[sound:163b249b-d5cb-413f-898a-0c85e9c1eb3e_word.mp3],[sound:163b249b-d5cb-413f-898a-0c85e9c1eb3e_sentence.mp3],Farsi School,Glossika,Persian5k::Verb
PL5/S7$ez8,09f2e07a-6314-4877-bb45-eea355dd6c5f,26,148,80 | 12659,Pronoun,شما,šomâ,"you (polite, plural)",اسم <b>شما</b> چیه؟,Esm-e šomâ či-ye?,What’s your name?,[sound:09f2e07a-6314-4877-bb45-eea355dd6c5f_word.mp3],[sound:09f2e07a-6314-4877-bb45-eea355dd6c5f_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Pronoun
la=)/7C922,7cbe54a4-d207-4757-9f96-53a4def0cdff,27,2086,78 | 663,"Adjective, Adverb",دیر,dir,late,خیلی <b>دیر</b>ه.,Xeyli dir-e.,It's very late.;<br>It's too late.,[sound:7cbe54a4-d207-4757-9f96-53a4def0cdff_word.mp3],[sound:7cbe54a4-d207-4757-9f96-53a4def0cdff_sentence.mp3],Farsi School,Glossika,"Persian5k::Adjective, Persian5k::Adverb"
"A}<)~1UA,<",cf651e4f-50b9-4f24-87f7-527dae6eb849,28,,,Verb,دیر کردن,dir kardan,to be late;<br>to come late;<br>to arrive late,<b>دیر کردم</b>؟,Dir kardam?,Am I late?,[sound:cf651e4f-50b9-4f24-87f7-527dae6eb849_word.mp3],[sound:cf651e4f-50b9-4f24-87f7-527dae6eb849_sentence.mp3],Farsi School,Glossika,Persian5k::Verb
t-ELc|4:{h,483069b6-687d-4982-9736-86ae7248cb08,29,2181,76 | 699,Noun,اتوبوس,otobus,bus,<b>اتوبوس</b> دیر کرده.,Otobus dir karde.,The bus is late.,[sound:483069b6-687d-4982-9736-86ae7248cb08_word.mp3],[sound:483069b6-687d-4982-9736-86ae7248cb08_sentence.mp3],Farsi School,Glossika,Persian5k::Noun
"A%]Bowxx=,",88d2efdd-cb13-4304-a82a-bcfc294691f9,30,,,Interjection,ببخشید,bebaxšid,excuse me;<br>I'm sorry,<b>ببخشید</b> دیر کردم.,Bebaxšid dir kardam.,Sorry I'm late.,[sound:88d2efdd-cb13-4304-a82a-bcfc294691f9_word.mp3],[sound:88d2efdd-cb13-4304-a82a-bcfc294691f9_sentence.mp3],PersianPod101,Glossika,Persian5k::Interjection
P~NkchQI/q,e70a514e-3457-4e80-bed3-d6b8a27e5f14,31,1216,71 | 2062,"Adverb, Noun",فردا,fardâ,tomorrow,<b>فردا</b> اینجا نیستم.,Fardâ injâ nistam.,I won't be here tomorrow.,[sound:e70a514e-3457-4e80-bed3-d6b8a27e5f14_word.mp3],[sound:e70a514e-3457-4e80-bed3-d6b8a27e5f14_sentence.mp3],Farsi School,Glossika,"Persian5k::Adverb, Persian5k::Noun"
h:|P_.Hie;,daaeb132-5568-4799-ad46-353d7df4aeb2,33,54,86 | 22462,Pronoun,او <i>|</i> اون,u | un,"he, she, they",‫<b>او</b> می‌خواند.‬,U mixânad.,He reads.,[sound:daaeb132-5568-4799-ad46-353d7df4aeb2_word.mp3],[sound:daaeb132-5568-4799-ad46-353d7df4aeb2_sentence.mp3],Farsi School,Goethe Verlag,Persian5k::Pronoun
Luxq<$3OD&,d25101e7-ccc1-4db6-bb7c-c4d200df99c0,32,280,86 | 4689,Verb,خواندن,xândan,to read;<br>to study,‫من <b>می‌خوانم</b>.‬,Man mixânam.,I read.,[sound:d25101e7-ccc1-4db6-bb7c-c4d200df99c0_word.mp3],[sound:d25101e7-ccc1-4db6-bb7c-c4d200df99c0_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Verb
yJ6}zJ0jat,e1d89f1b-32b1-4688-9e6a-bf8c16058bbd,34,1520,73 | 1437,"Adjective, Adverb",زود,zud,early;<br>quickly; soon,خیلی <b>زود</b>ه.,Xeyli zud-e.,It's very early.;<br>It's too early.,[sound:e1d89f1b-32b1-4688-9e6a-bf8c16058bbd_word.mp3],[sound:e1d89f1b-32b1-4688-9e6a-bf8c16058bbd_sentence.mp3],PersianPod101,Glossika,"Persian5k::Adjective, Persian5k::Adverb"
Gop>j%`$Xn,b063549a-06c1-4619-974f-bc33f331bb49,35,16,93 | 58525,Verb,داشتن,dâštan,"to have; to possess, to own",اون <b>داره</b>.,Un dâre.,She has.,[sound:b063549a-06c1-4619-974f-bc33f331bb49_word.mp3],[sound:b063549a-06c1-4619-974f-bc33f331bb49_sentence.mp3],Farsi School,Glossika,Persian5k::Verb
t%gO`!4.DT,07504409-af79-472b-bf5d-e01b69b24257,36,1452,74 | 1490,Noun,ماشین,mâšin,car,من <b>ماشین</b> دارم.,Man mâšin dâram.,I have a car.,[sound:07504409-af79-472b-bf5d-e01b69b24257_word.mp3],[sound:07504409-af79-472b-bf5d-e01b69b24257_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
LQViy6l#qe,4cc4e63e-ba6f-4e0b-b6b9-ba978013a073,37,2347,76 | 598,Noun,کلید,kelid,key,<b>کلید</b> ندارم.,Kelid nadâram.,I don't have the key.,[sound:4cc4e63e-ba6f-4e0b-b6b9-ba978013a073_word.mp3],[sound:4cc4e63e-ba6f-4e0b-b6b9-ba978013a073_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
F@4_K9;so],20d7efa3-6c72-467c-8d98-f466dc6750c9,38,3405,60 | 578,Noun,سگ,sag,dog,تو <b>سگ</b> نداری.,To sag nadâri.,You don't have a dog.,[sound:20d7efa3-6c72-467c-8d98-f466dc6750c9_word.mp3],[sound:20d7efa3-6c72-467c-8d98-f466dc6750c9_sentence.mp3],Goethe Verlag,Glossika,Persian5k::Noun
L$^4T$$XqM,61512efd-2e81-45c7-9858-5c5495912e78,39,1545,63 | 2062,Adverb,کجا,kojâ,where,کلیدام <b>کجا</b>ست؟,Kelid-â-m kojâ-st?,Where are my keys?,[sound:61512efd-2e81-45c7-9858-5c5495912e78_word.mp3],[sound:61512efd-2e81-45c7-9858-5c5495912e78_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Adverb
E:MgIK3g/<,409e78cb-3446-4815-b4bb-44a8be5ec78e,40,496,85 | 2826,Noun,دوست,dust,friend,<b>دوست</b>ت کجاست.,Dust-et kojâ-st?,Where's your friend?,[sound:409e78cb-3446-4815-b4bb-44a8be5ec78e_word.mp3],[sound:409e78cb-3446-4815-b4bb-44a8be5ec78e_sentence.mp3],PesianPod101,Glossika,Persian5k::Adverb
EYd!i`a/0),0860d172-5ccb-4e89-9121-10d4e5ca4f55,41,1408,62 | 2406,Noun,اتاق,otâġ,room,این <b>اتاق</b> خیلی گرمه.,In otâġ xeyli garm-e.,It's very warm in this room.,[sound:0860d172-5ccb-4e89-9121-10d4e5ca4f55_word.mp3],[sound:0860d172-5ccb-4e89-9121-10d4e5ca4f55_sentence.mp3],Farsi School,Glossika,Persian5k::Noun
Ma~^O7zu65,e6271251-c348-4163-b94f-2dd17f20a181,42,590,72 | 4778,Noun,چشم, 	čašm | češm,eye,<b>چشم</b>هام خوب نیستن.,Češm-hâ-m xub nistan.,My eyes are not very good.,[sound:e6271251-c348-4163-b94f-2dd17f20a181_word.mp3],[sound:e6271251-c348-4163-b94f-2dd17f20a181_sentence.mp3],Farsi School,Glossika,"Persian5k::Noun, Persian5k::Topic::Body"
G<x.A?y-3],5d73ac53-dd6d-4ad9-90ed-ecb3c6232e68,43,2092,74 | 807,Adjective,آبی,âbi,blue,من چشمای <b>آبی</b> دارم.,Man češm-â-ye âbi dâram.,I have blue eyes.,[sound:5d73ac53-dd6d-4ad9-90ed-ecb3c6232e68_word.mp3],[sound:5d73ac53-dd6d-4ad9-90ed-ecb3c6232e68_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Adjective, Persian5k::Topic::Color"
i2%]1(/9Ib,8e2ebfa9-ed5f-4ec9-a90f-8962b48f96bc,44,381,53 | 14651,"Preposition, Adjective, Adverb",تو,tu,"in, inside;<br>
within, interior, inner",<b>تو</b>ی این اتاق گرمه.,Tu-ye in otâġ garm-e.,It's hot in this room.,[sound:8e2ebfa9-ed5f-4ec9-a90f-8962b48f96bc_word.mp3],[sound:8e2ebfa9-ed5f-4ec9-a90f-8962b48f96bc_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Adjective, Persian5k::Adverb, Persian5k::Preposition"
"A4o3/Y:Q,M",24e79305-b32a-4579-83ef-621676fc80ab,45,4253,69 | 265,Adjective,خسته,xaste,tired;<br>weary,من <b>خسته</b> نیستم.,Man xaste nistam.,I'm not tired.,[sound:24e79305-b32a-4579-83ef-621676fc80ab_word.mp3],[sound:24e79305-b32a-4579-83ef-621676fc80ab_sentence.mp3],PersianPod101,Glossika,Persian5k::Adjective
"i>}LwvDe,h",fb5c0e83-95f6-44e4-8a48-c1c4d6d6e5cc,46,918,78 | 2186,Noun,صبح,sobh,morning,امروز <b>صبح</b> خستم.,Emruz sobh xast-am.,I'm tired this morning.,[sound:fb5c0e83-95f6-44e4-8a48-c1c4d6d6e5cc_word.mp3],[sound:fb5c0e83-95f6-44e4-8a48-c1c4d6d6e5cc_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
P3S`5z*PWY,40a31baf-5ded-4f34-a474-cfaa8a3ab26f,47,4194,53 | 472,Adverb,بخیر,bexeyr,good (<i>in greetings</i>), صبح <b>به خیر</b>.,Sobh bexeyr,Good morning.,[sound:40a31baf-5ded-4f34-a474-cfaa8a3ab26f_word.mp3],[sound:40a31baf-5ded-4f34-a474-cfaa8a3ab26f_sentence.mp3],PersianPod101,PersianPod101,Persian5k::Adverb
"I>*;bW_yQ,",3ad64fab-0d12-4717-a16b-7b4dfc38d0c0,48,,,Interjection,صبح بخیر,sobh bexeyr,good morning,سلام. <b>صبح به خیر</b>.,Salâm. Sobh be xeyr.,Hello. Good morning.,[sound:3ad64fab-0d12-4717-a16b-7b4dfc38d0c0_word.mp3],[sound:3ad64fab-0d12-4717-a16b-7b4dfc38d0c0_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Interjection, Persian5k::Topic::Greetings"
efW8V5A%}3,43276396-9f2a-419e-8027-dac9f86c39df,49,3724,45 | 764,Noun,مامان,mâmân,mama,سلام <b>مامان</b>!,Salâm mâmân.,Hi Mum.,[sound:43276396-9f2a-419e-8027-dac9f86c39df_word.mp3],[sound:43276396-9f2a-419e-8027-dac9f86c39df_sentence.mp3],Farsi School,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Family"
P5*}a]nhtL,5a9843d1-e592-45b9-a3ff-ab85d9755ca0,50,1064,70 | 2728,Noun,پسر,pesar,son;<br>boy,سلام <b>پسر</b>م. صبح به خیر.,Salâm pesar-am. Sobh be xeyr.,"Hello my son, good morning.",[sound:5a9843d1-e592-45b9-a3ff-ab85d9755ca0_word.mp3],[sound:5a9843d1-e592-45b9-a3ff-ab85d9755ca0_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Family"
hT%`r<^2gf,5ba0f13e-8086-4232-ad49-f44d1e9d52ec,51,633,77 | 3672,Noun,جان <i>|</i> جون,jân | jun,"soul, life;<br>sweetheart, dear",سامان <b>جون</b>، چطوری؟,Sâmân-jun četori?,How are you Saman dear?,[sound:5ba0f13e-8086-4232-ad49-f44d1e9d52ec_word.mp3],[sound:5ba0f13e-8086-4232-ad49-f44d1e9d52ec_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Noun
FWVZ4B3T1~,67e9a858-c11e-4f8d-b363-ecc448f1599a,53,57,95 | 7421,Adjective,تنها,tanhâ,"alone;<br>lonely<br>just, only",مریم جان <b>تنها</b> هستی؟,Maryam jân tanhâ hasti?,"Maryam dear, are you alone?",[sound:67e9a858-c11e-4f8d-b363-ecc448f1599a_word.mp3],[sound:67e9a858-c11e-4f8d-b363-ecc448f1599a_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Adjective
V(i%7N?}D,38724aac-7241-4508-b1e1-308169eb11e8,54,8,95 | 131450,Preposition,با,bâ,"with (someone);<br>with, by, using",نه، <b>با</b> دوستم سارا هستم. سارا این بابَکه.,"Na, bâ dust-am sârâ hastam. Sârâ in bâbak-e.","No, I am with my friend Sara. Sara, this is Babak.",[sound:38724aac-7241-4508-b1e1-308169eb11e8_word.mp3],[sound:38724aac-7241-4508-b1e1-308169eb11e8_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Preposition
B%5W%#sC69,0b53d796-8c5b-47c0-953b-5ad61c9eee57,55,870,75 | 2674,Noun,خانم <i>|</i> خانوم ,xânom | xânum,"Mrs, Ms;<br>lady;<br>madam",سلام، سارا <b>خانوم</b>.,Salâm Sârâ xânum.,"Hello, miss Sara.",[sound:0b53d796-8c5b-47c0-953b-5ad61c9eee57_word.mp3],[sound:0b53d796-8c5b-47c0-953b-5ad61c9eee57_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
FD^1=?CENU,9a2cdd0b-7104-49d2-8825-6fca8e69d4b5,52,178,77 | 12482,"Adverb, Particle",نه,na,no,‫<b>نه</b>، ندارم.‬,"Na, nadâram.","No, I don't have (it).",[sound:9a2cdd0b-7104-49d2-8825-6fca8e69d4b5_word.mp3],[sound:9a2cdd0b-7104-49d2-8825-6fca8e69d4b5_sentence.mp3],PersianLanguageOnline,Goethe Verlag,"Persian5k::Adverb, Persian5k::Particle"
yVR?AqO7tm,6d96bcb8-b8f6-4d2c-af42-4b3d753acd25,56,,,Interjection,خوشوقتم,xošvaġt-am,pleased to meet you,<b>خوشوقتم</b>. شما ایرانی هستین؟,Xošvaġt-am. Šomâ irâni hastin?,Pleased to meet you. Are you Iranian?,[sound:6d96bcb8-b8f6-4d2c-af42-4b3d753acd25_word.mp3],[sound:6d96bcb8-b8f6-4d2c-af42-4b3d753acd25_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Interjection, Persian5k::Topic::Greetings"
sH^ZcDp$Tn,e1a26374-91f1-4118-bf4b-428a89e46f9d,57,1211,88 | 771,"Noun, Adjective",آلمانی,âlmâni,German,من <b>آلمانی</b> میخونم.,Man âlmâni mixunam.,I'm studying German.,[sound:e1a26374-91f1-4118-bf4b-428a89e46f9d_word.mp3],[sound:e1a26374-91f1-4118-bf4b-428a89e46f9d_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Adjective, Persian5k::Noun, Persian5k::Topic::Languages, Persian5k::Topic::Nationalities"
p(c|Mhlo`6,bde1ad90-62a0-45cd-8463-911522b775bc,58,1636,72 | 1360,Adverb,بله,bale,yes,‫<b>بله</b>، دارم.‬,"Bale, dâram.","Yes, I have.",[sound:bde1ad90-62a0-45cd-8463-911522b775bc_word.mp3],[sound:bde1ad90-62a0-45cd-8463-911522b775bc_sentence.mp3],PersianLanguageOnline,Goethe Verlag,Persian5k::Adverb
K8p_Qt8l;N,22602332-1dd7-42e1-8198-a76733cbc471,59,883,71 | 3175,Noun,پدر,pedar,father, من <b>پدر</b>ت هستم.,Man pedar-et hastam.,I am your father.,[sound:22602332-1dd7-42e1-8198-a76733cbc471_word.mp3],[sound:22602332-1dd7-42e1-8198-a76733cbc471_sentence.mp3],PersianLanguageOnline,PersianPod101,Persian5k::Noun
D@<a+m&SQM,7f607a1a-02af-4902-bf4c-338e2a49c8d0,60,1,96 | 533712,Conjunction,و,va | o,and,‫من <b>و</b> تو‬.,Man va to.,I and you.,[sound:7f607a1a-02af-4902-bf4c-338e2a49c8d0_word.mp3],[sound:7f607a1a-02af-4902-bf4c-338e2a49c8d0_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Conjunction
xrkOu}uL_9,b3017f93-6da1-4214-9e4e-9e5cb6a38eb0,61,930,71 | 3086,Noun,مادر,mâdar,mother,پدر و <b>مادر</b>ت چطورن؟,Pedar o mâdaret četor-an?,<div>How are your parents?</div>,[sound:b3017f93-6da1-4214-9e4e-9e5cb6a38eb0_word.mp3],[sound:b3017f93-6da1-4214-9e4e-9e5cb6a38eb0_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Noun
